folder_number  density  precision  recall  f-measure  extracted_objects  total_objects
140  0.110040  0.229896  0.143331  0.044190  0  18
8202  0.085551  0.221456  0.085609  0.061170  0  13
3383  0.081076  0.211344  0.084838  0.041402  0  13
5995  0.146751  0.024628  0.106551  0.024330  0  4
6294  0.133189  0.288271  0.147743  0.122015  0  6
4582  0.061049  0.128434  0.092803  0.044034  0  19
84  0.418605  0.736842  0.417219  0.532770  0  1
8466  0.027702  0.091089  0.094769  0.092379  0  2
2285  0.168831  0.457602  0.168285  0.215827  0  1
2436  0.119960  0.451946  0.157627  0.096075  0  15
3485  0.041399  0.177293  0.137839  0.045304  0  5
8160  0.088398  0.100498  0.040758  0.049924  0  19
3721  0.022809  0.126794  0.018315  0.030489  0  14
2856  0.130154  0.694682  0.211089  0.291222  0  3
1941  0.265473  0.582262  0.088401  0.074294  0  5
3024  0.012245  0.032765  0.024822  0.018321  0  21
2835  0.117448  0.183360  0.080770  0.099084  0  14
7279  0.034929  0.248295  0.014749  0.023305  0  9
1982  0.069617  0.122565  0.099208  0.045696  0  21
2111  0.007218  0.060210  0.002702  0.003909  0  12
4974  0.002116  0.012778  0.005249  0.000689  0  19
5952  0.026242  0.062598  0.034568  0.018120  0  11
5763  0.080504  0.115588  0.079435  0.042735  0  11
2375  0.224661  0.219022  0.267650  0.123750  0  4
5629  0.085163  0.160220  0.094702  0.053429  0  14
5220  0.048249  0.149651  0.028914  0.038345  0  14
924  0.485207  0.738739  0.484252  0.585018  0  1
6513  0.227165  0.214968  0.163158  0.163521  0  5
7764  0.081868  0.222945  0.151705  0.111390  0  9
3714  0.018932  0.164503  0.036057  0.027963  0  16
6040  0.057146  0.357294  0.062093  0.024967  0  10
6417  0.057001  0.289220  0.028104  0.039567  0  10
5227  0.025123  0.128071  0.037141  0.025459  0  16
8237  0.028575  0.541599  0.031618  0.034275  0  5
6164  0.293659  0.938053  0.293629  0.447257  0  1
6340  
